-------------------------------------------------------------------------------------------,,,,,,,,
 Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                ,,,,,,,,
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      ",,,,,,,,
                                                                                           ,,,,,,,,
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   ",,,,,,,,
 Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        ,,,,,,,,
 Scripps Institution of Oceanography (SIO)                                                 ,,,,,,,,
 University of California                                                                  ,,,,,,,,
" La Jolla, California USA 92093-0244                                                       ",,,,,,,,
                                                                                           ,,,,,,,,
 Status of data and correspondence:                                                        ,,,,,,,,
                                                                                           ,,,,,,,,
 These data are subject to revision based on recalibration of standard gases. Questions    ,,,,,,,,
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker",,,,,,,,
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            ",,,,,,,,
                                                                                           ,,,,,,,,
 Baseline data in this file through 07-Oct-2019 from archive dated 07-Oct-2019 13:40:07    ,,,,,,,,
                                                                                           ,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,
                                                                                           ,,,,,,,,
 Please cite as:                                                                           ,,,,,,,,
                                                                                           ,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   ",,,,,,,,
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    ",,,,,,,,
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   ",,,,,,,,
                                                                                           ,,,,,,,,
" If it is necessary to cite a peer-reviewed article, please cite as:                       ",,,,,,,,
                                                                                           ,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       ",,,,,,,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,,,,,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""",,,,,,
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,,,,,,
" New York, 2005.                                                                           ",,,,,,,,
                                                                                           ,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,
                                                                                           ,,,,,,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,,,,,,
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   ,,,,,,,,
" mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        ",,,,,,,,
 standard version of the data most often sought.  The monthly values have been adjusted    ,,,,,,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,,,,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,,,,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,,,,,,
 smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic ,,,,,,,,
 functions with linear gain.  Column 8 is the same smoothed version with the seasonal      ,,,,,,,,
 cycle removed.  Column 9 is identical to Column 5 except that the missing values from     ,,,,,,,,
 Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  ,,,,,,,,
 except missing values have been filled with values from Column 8.  Missing values are     ,,,,,,,,
 denoted by -99.99                                                                         ,,,,,,,,
                                                                                           ,,,,,,,,
 CO2 concentrations are measured on the '08A' calibration scale                            ,,,,,,,,
                                                                                           ,,,,,,,,
  Yr, Mn,    Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
1958,1,21200,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,2,21231,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,3,21259,315.7,314.43,316.19,314.9,315.7,314.43
1958,4,21290,317.45,315.16,317.3,314.98,317.45,315.16
1958,5,21320,317.51,314.71,317.86,315.06,317.51,314.71
1958,6,21351,-99.99,-99.99,317.24,315.14,317.24,315.14
1958,7,21381,315.86,315.19,315.86,315.21,315.86,315.19
1958,8,21412,314.93,316.19,313.99,315.29,314.93,316.19
1958,9,21443,313.21,316.08,312.46,315.35,313.21,316.08
1958,10,21473,-99.99,-99.99,312.44,315.4,312.44,315.4
1958,11,21504,313.33,315.2,313.61,315.46,313.33,315.2
1958,12,21534,314.67,315.43,314.76,315.51,314.67,315.43
1959,1,21565,315.58,315.55,315.62,315.57,315.58,315.55
1959,2,21596,316.48,315.86,316.26,315.63,316.48,315.86
1959,3,21624,316.65,315.38,316.98,315.69,316.65,315.38
1959,4,21655,317.72,315.41,318.09,315.77,317.72,315.41
1959,5,21685,318.29,315.49,318.65,315.85,318.29,315.49
1959,6,21716,318.15,316.03,318.04,315.94,318.15,316.03
1959,7,21746,316.54,315.86,316.67,316.03,316.54,315.86
1959,8,21777,314.8,316.06,314.83,316.12,314.8,316.06
1959,9,21808,313.84,316.72,313.31,316.22,313.84,316.72
1959,10,21838,313.33,316.33,313.32,316.3,313.33,316.33
1959,11,21869,314.81,316.68,314.54,316.39,314.81,316.68
1959,12,21899,315.58,316.35,315.72,316.47,315.58,316.35
1960,1,21930,316.43,316.4,316.6,316.56,316.43,316.4
1960,2,21961,316.98,316.35,317.27,316.64,316.98,316.35
1960,3,21990,317.58,316.28,318.03,316.71,317.58,316.28
1960,4,22021,319.03,316.7,319.14,316.79,319.03,316.7
1960,5,22051,320.04,317.22,319.68,316.86,320.04,317.22
1960,6,22082,319.59,317.48,319.02,316.93,319.59,317.48
1960,7,22112,318.18,317.52,317.6,316.97,318.18,317.52
1960,8,22143,315.9,317.2,315.69,317.01,315.9,317.2
1960,9,22174,314.17,317.07,314.12,317.04,314.17,317.07
1960,10,22204,313.83,316.83,314.09,317.07,313.83,316.83
1960,11,22235,315,316.88,315.25,317.11,315,316.88
1960,12,22265,316.19,316.96,316.39,317.15,316.19,316.96
1961,1,22296,316.89,316.86,317.25,317.2,316.89,316.86
1961,2,22327,317.7,317.08,317.9,317.26,317.7,317.08
1961,3,22355,318.54,317.25,318.63,317.33,318.54,317.25
1961,4,22386,319.48,317.16,319.75,317.41,319.48,317.16
1961,5,22416,320.58,317.76,320.32,317.5,320.58,317.76
1961,6,22447,319.77,317.63,319.71,317.59,319.77,317.63
1961,7,22477,318.57,317.88,318.33,317.68,318.57,317.88
1961,8,22508,316.79,318.06,316.46,317.76,316.79,318.06
1961,9,22539,314.99,317.89,314.92,317.85,314.99,317.89
1961,10,22569,315.31,318.32,314.92,317.92,315.31,318.32
1961,11,22600,316.1,317.99,316.13,317.99,316.1,317.99
1961,12,22630,317.01,317.78,317.3,318.06,317.01,317.78
1962,1,22661,317.94,317.91,318.17,318.13,317.94,317.91
1962,2,22692,318.55,317.92,318.83,318.19,318.55,317.92
1962,3,22720,319.68,318.39,319.56,318.26,319.68,318.39
1962,4,22751,320.57,318.24,320.67,318.32,320.57,318.24
1962,5,22781,321.02,318.18,321.22,318.39,321.02,318.18
